76;1. FC Kaiserslautern
65;1. FC Kšln
79;1. FC NŸrnberg
81;1. FSV Mainz 05
123;1899 Hoffenheim
23;Alemannia Aachen
83;Arminia Bielefeld
6;Bayer Leverkusen
40;Bayern MŸnchen
7;Borussia Dortmund
87;Borussia Mšnchengladbach
91;Eintracht Frankfurt
93;Energie Cottbus
9;FC Schalke 04
98;FC St. Pauli
185;Fortuna DŸsseldorf
100;Hamburger SV
55;Hannover 96
102;Hansa Rostock
54;Hertha BSC
105;Karlsruher SC
-1;KFC Uerdingen 05
107;MSV Duisburg
112;SC Freiburg
116;SpVgg Unterhaching
-2;SSV Ulm 1846
125;TSV 1860 MŸnchen
16;VfB Stuttgart
129;VfL Bochum 1848
131;VfL Wolfsburg
134;Werder Bremen
95;FC Augsburg